Analyzing nonna_app...                                          

warning • Unused import: 'package:flutter_riverpod/flutter_riverpod.dart' • lib/core/di/service_locator.dart:2:8 • unused_import
  error • The name 'Override' isn't a type, so it can't be used as a type argument • lib/core/di/service_locator.dart:237:15 • non_type_as_type_argument
  error • The name 'Override' isn't a type, so it can't be used as a type argument • lib/core/di/service_locator.dart:248:24 • non_type_as_type_argument
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:92:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:92:40 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:115:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:115:40 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:172:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:172:40 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:210:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:210:40 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:237:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:237:40 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:338:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:338:40 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:345:37 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:345:42 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:352:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:352:40 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:372:35 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:372:40 • argument_type_not_assignable
  error • The argument type 'FakePostgrestInsertBuilder' can't be assigned to the parameter type 'Future<List<Map<String, dynamic>>>'.  • test/features/baby_profile/presentation/providers/baby_profile_provider_test.dart:321:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:69:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:100:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:124:58 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:143:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:175:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:198:58 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/gallery/presentation/providers/gallery_screen_provider_test.dart:262:25 • argument_type_not_assignable
